Gen,Resource,Stamp,TimeStamp_Start,TimeStamp_End,Duration,Indiv_id
0,1,FirstEvaluation,4274214210096,4274602694599,388484503,-1
0,1,STEP,4274602911699,4274607504899,4593200,-1
1,1,STEP,4274607584799,4274612206199,4621400,-1
2,1,STEP,4274612430799,4274617525899,5095100,-1
3,1,STEP,4274617617699,4274621385199,3767500,-1
4,1,STEP,4274621465099,4274624825799,3360700,-1
5,1,STEP,4274624899199,4274628147099,3247900,-1
6,1,STEP,4274628229699,4274631838999,3609300,-1
7,1,STEP,4274631936499,4274635392199,3455700,-1
8,1,STEP,4274635489199,4274638931599,3442400,-1
9,1,STEP,4274639037099,4274641727799,2690700,-1
10,1,STEP,4274641809699,4274645436499,3626800,-1
11,1,STEP,4274645534099,4274650489499,4955400,-1
12,1,STEP,4274650631499,4274654541999,3910500,-1
13,1,STEP,4274654633399,4274658059399,3426000,-1
14,1,STEP,4274658189599,4274662473799,4284200,-1
15,1,STEP,4274662624399,4274666596299,3971900,-1
16,1,STEP,4274666696599,4274670957699,4261100,-1
17,1,STEP,4274671056299,4274674314499,3258200,-1
18,1,STEP,4274674399599,4274677991899,3592300,-1
19,1,STEP,4274678076099,4274681400599,3324500,-1
20,1,STEP,4274681483799,4274685049999,3566200,-1
21,1,STEP,4274685168899,4274688800899,3632000,-1
22,1,STEP,4274688894899,4274692413199,3518300,-1
23,1,STEP,4274692494399,4274695523999,3029600,-1
24,1,STEP,4274695606399,4274698265899,2659500,-1
25,1,STEP,4274698339499,4274701701399,3361900,-1
26,1,STEP,4274701778499,4274704868399,3089900,-1
27,1,STEP,4274704956799,4274707947999,2991200,-1
28,1,STEP,4274708019799,4274710616199,2596400,-1
29,1,STEP,4274710691399,4274713882599,3191200,-1
30,1,STEP,4274713997199,4274717637900,3640701,-1
31,1,STEP,4274717727800,4274720760800,3033000,-1
32,1,STEP,4274720840800,4274723103000,2262200,-1
33,1,STEP,4274723184200,4274726314000,3129800,-1
34,1,STEP,4274726394200,4274729832700,3438500,-1
35,1,STEP,4274729942800,4274733021500,3078700,-1
36,1,STEP,4274733106500,4274736381400,3274900,-1
37,1,STEP,4274736482700,4274739287800,2805100,-1
38,1,STEP,4274739368400,4274742450800,3082400,-1
39,1,STEP,4274742588100,4274746103000,3514900,-1
40,1,STEP,4274746195600,4274750028600,3833000,-1
41,1,STEP,4274750149300,4274753331100,3181800,-1
42,1,STEP,4274753425300,4274756696100,3270800,-1
43,1,STEP,4274756771900,4274759694600,2922700,-1
44,1,STEP,4274759768100,4274762862700,3094600,-1
45,1,STEP,4274762951500,4274766319000,3367500,-1
46,1,STEP,4274766404600,4274770482700,4078100,-1
47,1,STEP,4274770574000,4274774182000,3608000,-1
48,1,STEP,4274774338500,4274777899100,3560600,-1
49,1,STEP,4274778001700,4274782656500,4654800,-1
50,1,STEP,4274782910000,4274787253200,4343200,-1
51,1,STEP,4274787564200,4274791562600,3998400,-1
52,1,STEP,4274791653000,4274795265800,3612800,-1
53,1,STEP,4274795375700,4274799219600,3843900,-1
54,1,STEP,4274799339400,4274802255900,2916500,-1
55,1,STEP,4274802371200,4274806912900,4541700,-1
56,1,STEP,4274807092300,4274812684000,5591700,-1
57,1,STEP,4274812880400,4274817266600,4386200,-1
58,1,STEP,4274817400100,4274821465100,4065000,-1
59,1,STEP,4274821556700,4274824245300,2688600,-1
60,1,STEP,4274824358500,4274827501600,3143100,-1
61,1,STEP,4274827638300,4274830557200,2918900,-1
62,1,STEP,4274830657000,4274833911000,3254000,-1
63,1,STEP,4274833995800,4274836783300,2787500,-1
64,1,STEP,4274836903000,4274839989400,3086400,-1
65,1,STEP,4274840068500,4274842892400,2823900,-1
66,1,STEP,4274842987400,4274846237900,3250500,-1
67,1,STEP,4274846357700,4274849925800,3568100,-1
68,1,STEP,4274850020900,4274853105300,3084400,-1
69,1,STEP,4274853216600,4274856846700,3630100,-1
70,1,STEP,4274856923600,4274859595400,2671800,-1
71,1,STEP,4274859669500,4274863093400,3423900,-1
72,1,STEP,4274863193800,4274866191300,2997500,-1
73,1,STEP,4274866269200,4274869175600,2906400,-1
74,1,STEP,4274869249900,4274871771700,2521800,-1
75,1,STEP,4274871866000,4274875032600,3166600,-1
76,1,STEP,4274875120400,4274878065500,2945100,-1
77,1,STEP,4274878147200,4274881259401,3112201,-1
78,1,STEP,4274881399701,4274885292001,3892300,-1
79,1,STEP,4274885386901,4274888550001,3163100,-1
80,1,STEP,4274888652501,4274891991301,3338800,-1
81,1,STEP,4274892078301,4274895355401,3277100,-1
82,1,STEP,4274895457301,4274898620901,3163600,-1
83,1,STEP,4274898699401,4274902107801,3408400,-1
84,1,STEP,4274902191701,4274905763801,3572100,-1
85,1,STEP,4274905868401,4274908712901,2844500,-1
86,1,STEP,4274908789101,4274912044001,3254900,-1
87,1,STEP,4274912131801,4274916694201,4562400,-1
88,1,STEP,4274916802401,4274920128501,3326100,-1
89,1,STEP,4274920218901,4274923695201,3476300,-1
90,1,STEP,4274923777501,4274926892901,3115400,-1
91,1,STEP,4274926980101,4274930721501,3741400,-1
92,1,STEP,4274930826301,4274934400801,3574500,-1
93,1,STEP,4274934489401,4274938440301,3950900,-1
94,1,STEP,4274938536701,4274942143801,3607100,-1
95,1,STEP,4274942245301,4274946326301,4081000,-1
96,1,STEP,4274946433301,4274949998201,3564900,-1
97,1,STEP,4274950133301,4274954656901,4523600,-1
98,1,STEP,4274954749501,4274957614801,2865300,-1
99,1,STEP,4274957690401,4274960867401,3177000,-1
100,1,STEP,4274960964601,4274964235701,3271100,-1
101,1,STEP,4274964332501,4274967011101,2678600,-1
