Gen,Resource,Stamp,TimeStamp_Start,TimeStamp_End,Duration,Indiv_id
0,1,FirstEvaluation,7359902348537,7360703153523,800804986,-1
0,1,STEP,7360704529712,7360709273145,4743433,-1
1,1,STEP,7360709342103,7360713364074,4021971,-1
2,1,STEP,7360713444515,7360717585405,4140890,-1
3,1,STEP,7360717658604,7360721763349,4104745,-1
4,1,STEP,7360721842787,7360725704453,3861666,-1
5,1,STEP,7360725776396,7360729362308,3585912,-1
6,1,STEP,7360729456079,7360733075749,3619670,-1
7,1,STEP,7360733142188,7360736988572,3846384,-1
8,1,STEP,7360737086974,7360740996480,3909506,-1
9,1,STEP,7360741081339,7360743961830,2880491,-1
10,1,STEP,7360744078413,7360747716942,3638529,-1
11,1,STEP,7360747790434,7360752685940,4895506,-1
12,1,STEP,7360752767029,7360756816324,4049295,-1
13,1,STEP,7360756892092,7360760011270,3119178,-1
14,1,STEP,7360760076901,7360764086809,4009908,-1
15,1,STEP,7360764204758,7360767644782,3440024,-1
16,1,STEP,7360767714888,7360771932580,4217692,-1
17,1,STEP,7360772008161,7360775016159,3007998,-1
18,1,STEP,7360775080005,7360778633405,3553400,-1
19,1,STEP,7360778700722,7360782131358,3430636,-1
20,1,STEP,7360782201743,7360785789054,3587311,-1
21,1,STEP,7360785882427,7360789332076,3449649,-1
22,1,STEP,7360789397640,7360793024547,3626907,-1
23,1,STEP,7360793091087,7360795998937,2907850,-1
24,1,STEP,7360796066118,7360798962903,2896785,-1
25,1,STEP,7360799029446,7360803231924,4202478,-1
26,1,STEP,7360803327740,7360807171524,3843784,-1
27,1,STEP,7360807249015,7360810776672,3527657,-1
28,1,STEP,7360810846458,7360813806243,2959785,-1
29,1,STEP,7360813871915,7360817343966,3472051,-1
30,1,STEP,7360817418506,7360821024678,3606172,-1
31,1,STEP,7360821099881,7360824527236,3427355,-1
32,1,STEP,7360824605197,7360827087561,2482364,-1
33,1,STEP,7360827151306,7360830615269,3463963,-1
34,1,STEP,7360830684161,7360834048416,3364255,-1
35,1,STEP,7360834118458,7360837483853,3365395,-1
36,1,STEP,7360837550638,7360841114108,3563470,-1
37,1,STEP,7360841192307,7360844239450,3047143,-1
38,1,STEP,7360844315730,7360847520192,3204462,-1
