Gen,Resource,Stamp,TimeStamp_Start,TimeStamp_End,Duration,Indiv_id
0,1,FirstEvaluation,3229453634531,3229510312292,56677761,-1
0,1,STEP,3229510413285,3229511444870,1031585,-1
1,1,STEP,3229511467940,3229512361346,893406,-1
2,1,STEP,3229512381147,3229512994963,613816,-1
3,1,STEP,3229513014475,3229513599132,584657,-1
4,1,STEP,3229513619079,3229514353206,734127,-1
5,1,STEP,3229514380984,3229514883602,502618,-1
6,1,STEP,3229514907109,3229515408205,501096,-1
7,1,STEP,3229515432340,3229515915179,482839,-1
8,1,STEP,3229515939037,3229516409337,470300,-1
9,1,STEP,3229516433294,3229516817910,384616,-1
10,1,STEP,3229516841073,3229517302318,461245,-1
11,1,STEP,3229517325938,3229517872954,547016,-1
12,1,STEP,3229517896791,3229518408366,511575,-1
13,1,STEP,3229518431946,3229518862541,430595,-1
14,1,STEP,3229518886045,3229519361752,475707,-1
15,1,STEP,3229519385494,3229519816439,430945,-1
16,1,STEP,3229519840381,3229520588741,748360,-1
17,1,STEP,3229520618620,3229521066464,447844,-1
18,1,STEP,3229521091622,3229521595918,504296,-1
19,1,STEP,3229521620056,3229522099726,479670,-1
20,1,STEP,3229522130481,3229522541387,410906,-1
21,1,STEP,3229522564891,3229523236092,671201,-1
22,1,STEP,3229523277698,3229524026753,749055,-1
23,1,STEP,3229524056582,3229524527665,471083,-1
24,1,STEP,3229524559191,3229525198172,638981,-1
25,1,STEP,3229525269440,3229525870101,600661,-1
26,1,STEP,3229525895048,3229526368785,473737,-1
27,1,STEP,3229526392813,3229526853713,460900,-1
28,1,STEP,3229526877568,3229527287546,409978,-1
29,1,STEP,3229527311241,3229527747837,436596,-1
30,1,STEP,3229527771543,3229528255718,484175,-1
31,1,STEP,3229528279809,3229528709495,429686,-1
32,1,STEP,3229528739415,3229529124831,385416,-1
33,1,STEP,3229529148792,3229529611380,462588,-1
34,1,STEP,3229529635280,3229530078088,442808,-1
35,1,STEP,3229530101686,3229530546194,444508,-1
36,1,STEP,3229530570085,3229531017975,447890,-1
37,1,STEP,3229531042031,3229531432806,390775,-1
38,1,STEP,3229531456333,3229531867247,410914,-1
39,1,STEP,3229531890663,3229532322950,432287,-1
40,1,STEP,3229532346679,3229532831058,484379,-1
41,1,STEP,3229532854904,3229533242359,387455,-1
42,1,STEP,3229533266506,3229533754881,488375,-1
43,1,STEP,3229533779600,3229534187394,407794,-1
44,1,STEP,3229534211206,3229534644375,433169,-1
45,1,STEP,3229534668404,3229535150192,481788,-1
46,1,STEP,3229535174558,3229535785875,611317,-1
47,1,STEP,3229535822076,3229536410507,588431,-1
48,1,STEP,3229536445478,3229537050826,605348,-1
49,1,STEP,3229537086009,3229537647533,561524,-1
50,1,STEP,3229537682376,3229538232409,550033,-1
51,1,STEP,3229538267992,3229538916915,648923,-1
52,1,STEP,3229538953227,3229539552982,599755,-1
53,1,STEP,3229539589297,3229540417739,828442,-1
54,1,STEP,3229540479747,3229541119660,639913,-1
55,1,STEP,3229541164362,3229542154818,990456,-1
56,1,STEP,3229542198750,3229542887575,688825,-1
57,1,STEP,3229542924621,3229543531870,607249,-1
58,1,STEP,3229543570882,3229544207011,636129,-1
59,1,STEP,3229544243789,3229544745981,502192,-1
60,1,STEP,3229544781664,3229545358380,576716,-1
61,1,STEP,3229545393479,3229545863587,470108,-1
62,1,STEP,3229545887764,3229546386429,498665,-1
63,1,STEP,3229546411507,3229546830787,419280,-1
64,1,STEP,3229546861059,3229547312066,451007,-1
65,1,STEP,3229547336194,3229547732808,396614,-1
66,1,STEP,3229547757056,3229548177105,420049,-1
67,1,STEP,3229548201259,3229548639277,438018,-1
68,1,STEP,3229548663751,3229549283206,619455,-1
69,1,STEP,3229549319884,3229550004830,684946,-1
70,1,STEP,3229550041239,3229550548349,507110,-1
71,1,STEP,3229550584100,3229551207355,623255,-1
72,1,STEP,3229551243638,3229551806126,562488,-1
73,1,STEP,3229551841657,3229552384743,543086,-1
74,1,STEP,3229552419678,3229552892389,472711,-1
75,1,STEP,3229552930312,3229553533999,603687,-1
76,1,STEP,3229553570997,3229554122597,551600,-1
77,1,STEP,3229554157658,3229554671222,513564,-1
78,1,STEP,3229554707132,3229555202611,495479,-1
79,1,STEP,3229555237731,3229555730334,492603,-1
80,1,STEP,3229555765510,3229556355905,590395,-1
81,1,STEP,3229556393386,3229557181670,788284,-1
82,1,STEP,3229557227757,3229558002653,774896,-1
83,1,STEP,3229558092916,3229559075816,982900,-1
84,1,STEP,3229559114476,3229559737879,623403,-1
85,1,STEP,3229559773408,3229560297803,524395,-1
86,1,STEP,3229560333374,3229560916632,583258,-1
87,1,STEP,3229560952791,3229561564878,612087,-1
88,1,STEP,3229561600549,3229562142039,541490,-1
89,1,STEP,3229562177729,3229562755675,577946,-1
90,1,STEP,3229562791277,3229563365505,574228,-1
91,1,STEP,3229563401183,3229563982713,581530,-1
92,1,STEP,3229564019162,3229564606872,587710,-1
93,1,STEP,3229564642701,3229565305037,662336,-1
94,1,STEP,3229565341505,3229565933142,591637,-1
95,1,STEP,3229565969206,3229566512922,543716,-1
96,1,STEP,3229566548605,3229567033020,484415,-1
97,1,STEP,3229567068709,3229567632922,564213,-1
98,1,STEP,3229567670005,3229568201672,531667,-1
99,1,STEP,3229568237609,3229568829083,591474,-1
100,1,STEP,3229568864736,3229569449300,584564,-1
101,1,STEP,3229569485433,3229570001795,516362,-1
102,1,STEP,3229570037305,3229570592329,555024,-1
103,1,STEP,3229570627844,3229571229810,601966,-1
104,1,STEP,3229571265335,3229571746422,481087,-1
105,1,STEP,3229571781054,3229572263506,482452,-1
106,1,STEP,3229572298313,3229572888864,590551,-1
107,1,STEP,3229572928945,3229573798407,869462,-1
108,1,STEP,3229573840903,3229574414029,573126,-1
109,1,STEP,3229574446111,3229575141398,695287,-1
110,1,STEP,3229575186986,3229575750709,563723,-1
111,1,STEP,3229575778721,3229576254376,475655,-1
112,1,STEP,3229576279356,3229576757806,478450,-1
113,1,STEP,3229576790020,3229577371235,581215,-1
114,1,STEP,3229577396760,3229577889963,493203,-1
115,1,STEP,3229577914500,3229578388086,473586,-1
116,1,STEP,3229578412384,3229578840239,427855,-1
117,1,STEP,3229578864686,3229579385606,520920,-1
118,1,STEP,3229579410095,3229579896709,486614,-1
119,1,STEP,3229579921614,3229580393290,471676,-1
120,1,STEP,3229580417820,3229580867695,449875,-1
121,1,STEP,3229580892107,3229581318552,426445,-1
122,1,STEP,3229581342488,3229581791156,448668,-1
123,1,STEP,3229581815365,3229582248540,433175,-1
124,1,STEP,3229582272812,3229582708320,435508,-1
125,1,STEP,3229582732297,3229583088857,356560,-1
126,1,STEP,3229583112496,3229583524095,411599,-1
127,1,STEP,3229583550468,3229584000420,449952,-1
128,1,STEP,3229584030457,3229584389008,358551,-1
129,1,STEP,3229584412699,3229584811560,398861,-1
130,1,STEP,3229584835188,3229585237035,401847,-1
131,1,STEP,3229585260758,3229585670592,409834,-1
132,1,STEP,3229585694203,3229586070214,376011,-1
133,1,STEP,3229586093797,3229586517027,423230,-1
134,1,STEP,3229586540908,3229586948528,407620,-1
135,1,STEP,3229586972660,3229587398986,426326,-1
136,1,STEP,3229587422652,3229587876611,453959,-1
137,1,STEP,3229587900487,3229588294488,394001,-1
138,1,STEP,3229588318230,3229588767853,449623,-1
139,1,STEP,3229588791300,3229589194606,403306,-1
140,1,STEP,3229589218687,3229589939226,720539,-1
141,1,STEP,3229589967614,3229590533358,565744,-1
142,1,STEP,3229590560859,3229590991102,430243,-1
143,1,STEP,3229591020880,3229591743892,723012,-1
144,1,STEP,3229591793549,3229592216841,423292,-1
145,1,STEP,3229592240766,3229592938361,697595,-1
146,1,STEP,3229592976356,3229593559361,583005,-1
147,1,STEP,3229593597368,3229594170373,573005,-1
148,1,STEP,3229594205794,3229594763664,557870,-1
149,1,STEP,3229594799242,3229595329996,530754,-1
150,1,STEP,3229595365361,3229595882006,516645,-1
151,1,STEP,3229595916973,3229596451321,534348,-1
152,1,STEP,3229596489755,3229596991260,501505,-1
153,1,STEP,3229597026245,3229597556612,530367,-1
154,1,STEP,3229597591152,3229598114582,523430,-1
155,1,STEP,3229598149210,3229598695920,546710,-1
156,1,STEP,3229598731495,3229599299331,567836,-1
157,1,STEP,3229599335104,3229599923672,588568,-1
158,1,STEP,3229599959144,3229600498954,539810,-1
159,1,STEP,3229600535221,3229601041580,506359,-1
160,1,STEP,3229601077576,3229601617999,540423,-1
161,1,STEP,3229601653571,3229602217449,563878,-1
162,1,STEP,3229602253720,3229602784779,531059,-1
163,1,STEP,3229602820520,3229603355349,534829,-1
164,1,STEP,3229603390928,3229603927012,536084,-1
165,1,STEP,3229603963361,3229604478804,515443,-1
166,1,STEP,3229604514437,3229605089929,575492,-1
167,1,STEP,3229605132034,3229605673207,541173,-1
168,1,STEP,3229605714745,3229606350496,635751,-1
169,1,STEP,3229606382126,3229606974686,592560,-1
170,1,STEP,3229607023054,3229607581704,558650,-1
171,1,STEP,3229607610871,3229608139188,528317,-1
172,1,STEP,3229608183791,3229609284873,1101082,-1
173,1,STEP,3229609312947,3229609735503,422556,-1
174,1,STEP,3229609759907,3229610200016,440109,-1
175,1,STEP,3229610232216,3229610686371,454155,-1
176,1,STEP,3229610720839,3229611149615,428776,-1
177,1,STEP,3229611180527,3229611626788,446261,-1
178,1,STEP,3229611657177,3229612090063,432886,-1
179,1,STEP,3229612122354,3229612580555,458201,-1
180,1,STEP,3229612614629,3229613063158,448529,-1
181,1,STEP,3229613098039,3229613533348,435309,-1
182,1,STEP,3229613558171,3229614016810,458639,-1
183,1,STEP,3229614049245,3229614519082,469837,-1
184,1,STEP,3229614543728,3229615008506,464778,-1
185,1,STEP,3229615036831,3229615445621,408790,-1
186,1,STEP,3229615479071,3229615907573,428502,-1
187,1,STEP,3229615941636,3229616421848,480212,-1
188,1,STEP,3229616455172,3229616850439,395267,-1
189,1,STEP,3229616883841,3229617309715,425874,-1
190,1,STEP,3229617342866,3229617774013,431147,-1
191,1,STEP,3229617804814,3229618225259,420445,-1
192,1,STEP,3229618253384,3229618677078,423694,-1
193,1,STEP,3229618709407,3229619169779,460372,-1
194,1,STEP,3229619202381,3229619644683,442302,-1
195,1,STEP,3229619677490,3229620113555,436065,-1
196,1,STEP,3229620146822,3229620502598,355776,-1
197,1,STEP,3229620535898,3229620976059,440161,-1
198,1,STEP,3229621010124,3229621410162,400038,-1
199,1,STEP,3229621440909,3229621931899,490990,-1
200,1,STEP,3229621965920,3229622410158,444238,-1
201,1,STEP,3229622444304,3229623116841,672537,-1
202,1,STEP,3229623160708,3229624009659,848951,-1
203,1,STEP,3229624060980,3229624796888,735908,-1
204,1,STEP,3229624900554,3229625586855,686301,-1
205,1,STEP,3229625613130,3229626064883,451753,-1
206,1,STEP,3229626090320,3229626583419,493099,-1
207,1,STEP,3229626608667,3229627082357,473690,-1
208,1,STEP,3229627107646,3229627566036,458390,-1
209,1,STEP,3229627591314,3229628079576,488262,-1
210,1,STEP,3229628105028,3229628567090,462062,-1
211,1,STEP,3229628592435,3229629035695,443260,-1
212,1,STEP,3229629060419,3229629476153,415734,-1
213,1,STEP,3229629500272,3229629916243,415971,-1
214,1,STEP,3229629940728,3229630354722,413994,-1
215,1,STEP,3229630379196,3229630870152,490956,-1
216,1,STEP,3229630895157,3229631319601,424444,-1
217,1,STEP,3229631344149,3229631768246,424097,-1
218,1,STEP,3229631793016,3229632256318,463302,-1
219,1,STEP,3229632281545,3229632778124,496579,-1
220,1,STEP,3229632803566,3229633188390,384824,-1
221,1,STEP,3229633213063,3229633609292,396229,-1
222,1,STEP,3229633634000,3229634057949,423949,-1
223,1,STEP,3229634082413,3229634538986,456573,-1
224,1,STEP,3229634564053,3229634974228,410175,-1
225,1,STEP,3229634998814,3229635418590,419776,-1
226,1,STEP,3229635443208,3229635858620,415412,-1
227,1,STEP,3229635885666,3229636298927,413261,-1
228,1,STEP,3229636323218,3229636755587,432369,-1
229,1,STEP,3229636780620,3229637194291,413671,-1
230,1,STEP,3229637218775,3229637676590,457815,-1
231,1,STEP,3229637701823,3229638094666,392843,-1
232,1,STEP,3229638119172,3229638589657,470485,-1
233,1,STEP,3229638614758,3229639056730,441972,-1
234,1,STEP,3229639081811,3229639686330,604519,-1
235,1,STEP,3229639732815,3229640580857,848042,-1
236,1,STEP,3229640640370,3229641160509,520139,-1
237,1,STEP,3229641202707,3229642106561,903854,-1
238,1,STEP,3229642188148,3229642678506,490358,-1
239,1,STEP,3229642710440,3229643136521,426081,-1
240,1,STEP,3229643173322,3229643672574,499252,-1
241,1,STEP,3229643700924,3229644204028,503104,-1
242,1,STEP,3229644229500,3229644646213,416713,-1
243,1,STEP,3229644670461,3229645079297,408836,-1
244,1,STEP,3229645103765,3229645562532,458767,-1
245,1,STEP,3229645587618,3229646026409,438791,-1
246,1,STEP,3229646051166,3229646467843,416677,-1
247,1,STEP,3229646492158,3229646921824,429666,-1
248,1,STEP,3229646946263,3229647419714,473451,-1
249,1,STEP,3229647444494,3229647812696,368202,-1
250,1,STEP,3229647836956,3229648292372,455416,-1
251,1,STEP,3229648321608,3229648780385,458777,-1
